INDEX,PM2.5-1,PM2.5-2,PM2.5-3,PM2.5-4,PM2.5-5,PM2.5-6,PM2.5-7,PM2.5-8
1,25.57489585876465,25.576026916503906,25.57617950439453,25.57632827758789,25.57647132873535,25.576610565185547,25.57674789428711,25.576881408691406
2,25.57486343383789,25.57598876953125,25.57613754272461,25.576282501220703,25.576425552368164,25.576562881469727,25.576698303222656,25.57682991027832
3,25.575031280517578,25.57615089416504,25.576297760009766,25.576438903808594,25.57657814025879,25.57671356201172,25.57684326171875,25.576969146728516
4,25.575016021728516,25.576141357421875,25.57628631591797,25.576425552368164,25.576562881469727,25.57669448852539,25.576824188232422,25.576950073242188
5,25.574975967407227,25.576108932495117,25.576251983642578,25.576391220092773,25.57652473449707,25.576656341552734,25.576786041259766,25.5769100189209
6,25.57491111755371,25.576047897338867,25.576190948486328,25.57632827758789,25.576461791992188,25.57659339904785,25.57672119140625,25.576845169067383
7,25.574848175048828,25.57598876953125,25.57613182067871,25.576269149780273,25.576404571533203,25.576534271240234,25.57666015625,25.576786041259766
8,25.57483673095703,25.575984954833984,25.576126098632812,25.576263427734375,25.576398849487305,25.57653045654297,25.576656341552734,25.5767822265625
9,25.574848175048828,25.576000213623047,25.576139450073242,25.576274871826172,25.57640838623047,25.5765380859375,25.576663970947266,25.576786041259766
10,25.574859619140625,25.57601547241211,25.576156616210938,25.576290130615234,25.57642364501953,25.576549530029297,25.576675415039062,25.576797485351562
11,25.574928283691406,25.57608985900879,25.57622528076172,25.576358795166016,25.576488494873047,25.576614379882812,25.576736450195312,25.576854705810547
12,25.57488250732422,25.57605743408203,25.576194763183594,25.57632827758789,25.576457977294922,25.576581954956055,25.576705932617188,25.576824188232422
13,25.57486915588379,25.576053619384766,25.576189041137695,25.57632064819336,25.576448440551758,25.576574325561523,25.576696395874023,25.576812744140625
14,25.574878692626953,25.57607078552246,25.576204299926758,25.576332092285156,25.576459884643555,25.576583862304688,25.576704025268555,25.576820373535156
15,25.57488250732422,25.57607650756836,25.576210021972656,25.576339721679688,25.576465606689453,25.57658576965332,25.576705932617188,25.576824188232422
16,25.57492446899414,25.576112747192383,25.576242446899414,25.576370239257812,25.576494216918945,25.576614379882812,25.576732635498047,25.576847076416016
17,25.57498550415039,25.57617950439453,25.576309204101562,25.576435089111328,25.576560974121094,25.576679229736328,25.576797485351562,25.57691192626953
18,25.575035095214844,25.57623291015625,25.57636260986328,25.576488494873047,25.57661247253418,25.576732635498047,25.57685089111328,25.57696533203125
19,25.5750675201416,25.57626724243164,25.576396942138672,25.576522827148438,25.57664680480957,25.576766967773438,25.576885223388672,25.57699966430664
20,25.575077056884766,25.57628059387207,25.5764102935791,25.576536178588867,25.57666015625,25.5767822265625,25.576900482177734,25.577014923095703
21,25.57503890991211,25.576244354248047,25.576374053955078,25.576499938964844,25.57662582397461,25.576744079589844,25.57686424255371,25.57697868347168
22,25.575027465820312,25.576236724853516,25.576366424560547,25.576496124267578,25.576622009277344,25.576744079589844,25.576862335205078,25.576980590820312
23,25.575000762939453,25.576210021972656,25.576343536376953,25.576473236083984,25.576601028442383,25.576725006103516,25.576847076416016,25.57696533203125
24,25.57510757446289,25.576313018798828,25.576446533203125,25.576580047607422,25.576705932617188,25.576831817626953,25.576955795288086,25.577075958251953
25,25.575096130371094,25.5762939453125,25.576427459716797,25.57655906677246,25.57668685913086,25.576810836791992,25.57693099975586,25.577049255371094
26,25.575042724609375,25.576234817504883,25.576366424560547,25.576496124267578,25.576622009277344,25.576744079589844,25.57686424255371,25.576980590820312
27,25.57503890991211,25.57623291015625,25.57636260986328,25.57649040222168,25.576614379882812,25.576736450195312,25.576854705810547,25.576969146728516
28,25.574949264526367,25.57615089416504,25.576282501220703,25.576412200927734,25.5765380859375,25.576662063598633,25.576780319213867,25.57689666748047
29,25.574729919433594,25.575929641723633,25.57606315612793,25.576194763183594,25.57632064819336,25.576446533203125,25.576566696166992,25.57668685913086
30,25.574644088745117,25.575834274291992,25.57596778869629,25.576099395751953,25.57622528076172,25.576351165771484,25.57647132873535,25.576589584350586
31,25.574724197387695,25.57590103149414,25.576030731201172,25.576160430908203,25.57628631591797,25.57640838623047,25.576526641845703,25.576644897460938
32,25.574735641479492,25.57591438293457,25.5760440826416,25.576173782348633,25.576297760009766,25.576419830322266,25.576539993286133,25.5766544342041
33,25.574844360351562,25.576032638549805,25.57616424560547,25.576290130615234,25.576414108276367,25.576534271240234,25.57665252685547,25.57676887512207
34,25.574922561645508,25.576128005981445,25.57625961303711,25.576385498046875,25.57651138305664,25.576629638671875,25.57674789428711,25.57686424255371
35,25.57494354248047,25.576156616210938,25.57628631591797,25.576412200927734,25.576536178588867,25.576656341552734,25.57677459716797,25.576889038085938
