INDEX,PM2.5
1,28.513424
2,31.146835
3,30.283268
4,26.69934
5,25.43411
6,24.894043
7,24.894043
8,24.894043
9,28.492805
10,33.782696
11,51.171925
12,50.54463
13,44.914146
14,50.799416
15,55.548767
16,56.57717
17,50.53011
18,36.69531
19,30.430508
20,37.25605
21,36.482418
22,38.908787
23,36.10292
24,38.319107
25,42.206234
26,46.557503
27,47.21026
28,45.880672
29,47.315388
30,50.564606
31,53.41973
32,56.87276
33,56.172203
34,55.38261
35,54.24374
36,55.160286
37,53.06814
38,52.1273
39,51.761063
40,48.46422
41,42.456417
42,38.504883
43,37.52559
44,37.705784
45,40.28084
46,40.054268
47,39.133133
48,33.04828
49,31.813896
50,40.115784
51,39.991543
52,41.21163
53,42.03107
54,47.51397
55,50.34157
56,53.048336
57,54.596367
58,52.42565
59,48.109406
60,54.43455
61,53.86533
62,51.46111
63,47.66078
64,44.74014
65,44.459003
66,46.13756
67,48.885628
68,52.414127
69,49.701942
70,48.039707
71,46.645878
72,44.51586
73,33.581028
74,36.46304
75,31.893677
76,31.494919
77,31.847626
78,31.976364
79,30.360508
80,27.997967
81,29.353374
82,28.845308
83,37.97733
84,50.879772
85,52.548897
86,51.31503
87,49.15543
88,45.95228
89,43.552277
90,40.846825
91,38.965343
92,37.785522
93,42.26779
94,44.63654
95,45.03126
96,44.483856
97,47.53949
98,45.209484
99,42.748478
100,41.95283
101,47.262943
102,50.29478
103,43.95303
104,31.363796
105,26.876793
106,26.12476
107,40.972874
108,40.60063
109,37.903446
110,36.780956
111,32.21966
112,26.225788
113,25.380331
114,25.599758
115,28.713139
116,28.675705
117,32.59127
118,42.37812
119,42.97846
120,43.375774
121,43.105537
122,45.35156
123,51.407883
124,49.07993
125,46.62532
126,44.239166
127,47.407352
128,51.455425
129,53.161415
130,51.67285
131,53.955647
132,54.6725
133,57.904884
134,48.53355
135,44.024475
136,45.84281
137,45.91732
138,41.92274
139,40.425476
140,44.281834
141,41.95319
142,42.8399
143,38.412792
144,44.7541
145,42.412132
146,42.796597
147,46.414616
148,53.776142
149,59.19752
150,58.955444
151,59.462902
152,55.791245
153,54.848644
154,53.80772
155,43.366234
156,36.428413
157,37.890224
158,29.169865
159,24.894043
160,29.5257
161,36.6319
162,40.625664
163,42.447506
164,45.603794
165,36.089535
166,48.959263
167,53.94291
168,55.6278
169,54.437237
170,55.77495
171,58.779366
172,61.80191
173,56.994274
174,53.39394
175,36.387836
176,37.368458
177,32.290844
178,30.611633
179,27.734034
180,27.546291
181,26.608913
182,27.474468
183,32.504887
184,42.780457
185,41.701736
186,41.210506
187,43.08467
188,44.909687
189,35.39561
190,35.313114
191,32.627827
192,29.577179
193,27.251991
194,28.752884
195,27.01714
196,27.986004
197,28.09085
198,28.8181
199,27.907936
200,24.952602
201,26.563702
202,26.702953
203,27.708923
204,29.204569
205,30.628784
206,32.415848
207,50.395237
208,64.4679
209,75.14292
210,82.67394
211,77.04987
212,71.7557
213,61.287327
214,49.326904
215,30.88929
216,27.656185
217,26.533714
218,27.147358
219,24.894043
220,28.770672
221,29.629211
222,28.98716
223,27.72332
224,29.645828
225,34.679073
226,47.343586
227,48.53494
228,47.526966
229,50.748238
230,50.097454
231,54.430145
232,57.093746
233,58.684067
234,61.594868
235,62.715145
236,61.019222
237,55.325634
238,51.9154
239,48.807903
240,47.67709
241,40.29525
242,32.749626
243,33.094055
244,35.963543
245,42.10224
246,32.274433
247,28.719595
248,29.823677
249,27.060837
250,30.718678
251,48.679016
252,52.948284
253,57.217144
254,56.00047
255,52.33831
256,47.735035
257,46.52167
258,46.83431
259,50.15866
260,49.863346
261,48.90205
262,42.342155
263,41.816093
264,38.05474
265,39.07122
266,35.393322
267,38.519695
268,36.350697
269,30.512413
270,30.032215
271,27.763931
272,33.085426
273,34.4329
274,51.740364
275,53.699684
276,56.236317
277,51.440086
278,46.032833
279,43.76483
280,41.28991
281,40.561245
282,40.003254
283,42.26725
284,41.995308
285,42.55101
286,41.274635
287,40.499683
288,39.326828
289,39.401398
290,41.21205
291,36.422554
292,29.57875
293,28.606945
294,29.479809
295,34.342834
296,43.10211
297,43.31507
298,43.508446
299,45.337452
300,44.718716
301,45.503437
302,43.21933
303,31.135635
304,34.269978
305,55.62926
306,37.271847
307,31.15813
308,29.594181
309,28.042751
310,28.4311
311,27.768024
312,27.68799
313,29.74094
314,27.35299
315,28.425869
316,25.698135
317,24.894043
318,24.894043
319,26.567501
320,25.127846
321,24.894043
322,26.807447
323,29.145325
324,29.260239
325,31.146515
326,28.107983
327,26.061546
328,25.606518
329,27.60058
330,32.09924
331,31.492825
332,30.545162
333,29.127428
334,30.559616
335,32.887894
336,33.325066
337,44.179535
338,34.211033
339,32.68777
340,31.725952
341,32.34475
342,40.81706
343,32.550827
344,31.332363
345,29.384789
346,27.6734
347,26.024944
348,26.179226
349,27.851322
350,30.972786
351,37.103992
352,37.78362
353,31.048843
354,30.51532
355,29.886633
356,30.200222
357,28.828148
358,27.38879
359,25.276222
360,24.894043
361,24.894043
362,24.894043
363,24.894043
364,24.894043
365,24.894043
366,24.894043
367,24.894043
368,24.894043
369,24.894043
370,25.089424
371,26.194942
372,28.66821
373,29.333893
374,26.171871
375,27.987381
376,31.834759
377,43.58377
378,32.961464
379,30.452126
380,29.636723
381,29.28297
382,29.302917
383,28.331154
384,27.531502
385,26.937714
386,26.207943
387,26.440607
388,25.843397
389,24.894043
390,24.894043
391,25.522999
392,27.527298
393,27.282028
394,28.516315
395,30.634212
396,34.818745
397,46.37762
398,42.350384
399,40.6267
400,39.91068
401,40.88218
402,38.887127
403,39.281853
404,38.222347
405,36.857925
406,34.46267
407,28.92558
408,31.874607
409,27.37645
410,28.480057
411,26.13058
412,30.650723
413,32.62962
414,35.68671
415,37.217773
416,39.726727
417,37.193333
418,35.5864
419,36.448483
420,37.016396
421,39.82125
422,36.36483
423,36.00255
424,31.623005
425,34.65341
426,34.354523
427,27.742443
428,27.512636
429,29.706284
430,28.627827
431,29.540615
432,29.432865
433,38.137455
434,30.715874
435,27.747498
436,28.760849
437,30.704678
438,31.402191
439,28.347607
440,27.75964
441,25.581738
442,31.082703
443,33.82979
444,34.929466
445,44.79806
446,44.47212
447,31.90136
448,30.919792
449,28.388685
450,26.066017
451,26.563227
452,29.604279
453,30.390045
454,28.17997
455,28.391296
456,29.224363
457,30.116543
458,31.553055
459,30.105122
460,29.722445
461,29.435173
462,35.589233
463,33.352055
464,28.191538
465,26.149345
466,24.894043
467,26.793411
468,26.377087
469,30.352055
470,47.17013
471,60.81657
472,75.470085
473,84.03796
474,83.78624
475,75.70516
476,65.99668
477,54.44254
478,50.489777
479,48.394306
480,47.06195
481,53.352524
482,49.93598
483,50.09925
484,43.628757
485,44.12719
486,42.47458
487,38.693134
488,32.039154
489,29.113623
490,29.278847
491,28.473045
492,27.465672
493,29.46088
494,37.745995
495,42.183407
496,48.353912
497,54.36696
498,56.4167
499,55.696022
500,49.39406
501,44.337914
502,29.911705
503,29.020447
504,37.037373
505,35.807106
506,28.750706
507,25.893774
508,24.894043
509,26.245605
510,25.218376
511,24.894043
512,24.894043
513,24.95394
514,25.473907
515,25.603287
516,26.49128
517,30.672447
518,33.349224
519,43.52033
520,52.92161
521,61.674126
522,70.17202
523,71.180115
524,64.82722
525,57.235077
526,53.30515
527,49.577793
528,49.632496
529,45.614307
530,44.90754
531,43.21304
532,42.25746
533,33.232113
534,34.934307
535,36.451035
536,32.29798
537,30.99987
538,31.79575
539,50.01418
540,53.52348
541,53.920055
542,49.652824
543,45.97775
544,43.800232
545,50.38831
546,57.132336
547,66.30535
548,63.42978
549,59.476536
550,50.472088
551,35.30859
552,32.240158
553,36.004257
554,33.00179
555,36.866333
556,35.12268
557,34.127132
558,32.618744
559,33.565598
560,33.356026
561,34.08447
562,35.941654
563,38.716118
564,36.723866
565,47.37012
566,45.3241
567,47.06214
568,49.243614
569,51.5311
570,56.5838
571,53.43591
572,48.964596
573,41.362053
574,30.49839
575,29.103392
576,28.137808
577,25.829668
578,24.894043
579,24.894043
580,24.894043
581,24.894043
582,24.894043
583,24.894043
584,24.894043
585,24.894043
586,24.894043
587,26.463394
588,28.525997
589,26.254747
590,25.443466
591,27.375172
592,28.727581
593,44.883526
594,52.64365
595,57.52355
596,52.11211
597,45.029503
598,44.10662
599,38.504898
600,34.391373
601,29.273285
602,27.239365
603,26.516068
604,25.696167
605,26.765335
606,27.380995
607,27.598015
608,26.237213
609,25.234911
610,24.894043
611,24.894043
612,37.823574
613,26.611958
614,30.296703
615,32.381443
616,47.328716
617,49.83819
618,49.83617
619,46.035633
620,42.5651
621,42.023125
622,39.072628
623,40.840263
624,38.933365
625,40.262432
626,40.9623
627,34.380665
628,31.54478
629,32.645554
630,33.341408
631,33.550755
632,32.264343
633,32.448765
634,34.985184
635,34.98618
636,25.235188
637,24.894043
638,29.831573
639,39.298363
640,39.31042
641,42.19123
642,44.288517
643,46.693016
644,46.27994
645,42.615265
646,38.83954
647,30.75658
648,39.38801
649,42.8094
650,46.71554
651,48.520725
652,34.406593
653,34.9915
654,43.770702
655,34.053806
656,47.375805
657,39.87023
658,48.201996
659,43.429348
660,31.14629
661,27.791826
662,27.102707
663,26.683323
664,28.925484
665,33.383633
666,37.626884
667,37.83542
668,37.620777
669,35.05943
670,37.433483
671,36.636673
672,37.982666
673,30.179985
674,28.480778
675,29.44069
676,37.56475
677,43.56411
678,47.000103
679,53.869953
680,47.59635
681,46.874763
682,45.337177
683,46.44859
684,46.221203
685,41.32506
686,38.301697
687,36.47156
688,36.56619
689,42.028816
690,34.6515
691,43.27061
692,38.759125
693,40.90784
694,38.982433
695,40.47112
696,40.328815
697,32.852375
698,34.987484
699,37.529392
700,42.785107
701,41.71757
702,41.728546
703,40.004925
704,45.521214
705,47.07738
706,44.577946
707,30.391685
708,28.435791
709,26.95385
710,33.88702
711,53.653378
712,53.21564
713,50.77013
714,61.65448
715,68.05692
716,70.75319
717,54.22024
718,49.537033
719,32.789406
720,32.656517
721,31.870403
722,32.400032
723,31.893402
724,30.4096
725,28.466248
726,25.535349
727,38.792732
728,33.038914
729,30.412197
730,24.894043
731,24.894043
732,24.894043
733,24.894043
734,27.25026
735,39.990578
736,47.48539
737,51.14564
738,50.797142
739,47.66587
740,43.199703
741,38.93187
742,38.66969
743,33.107105
744,32.195198
745,31.670948
746,25.466614
747,24.894043
748,24.894043
749,24.894043
750,26.60656
751,26.758
752,25.999588
753,24.894043
754,24.894043
755,27.442036
756,35.77473
757,35.147106
758,35.441654
759,30.263897
760,41.29719
761,47.17598
762,52.06865
763,48.913113
764,46.497894
765,42.71122
766,41.24616
767,30.612774
768,29.02193
769,29.154438
770,28.430073
771,27.164062
772,24.894043
773,25.248035
774,24.894043
775,24.894043
776,24.894043
777,24.894043
778,24.894043
779,24.894043
780,24.894043
781,24.894043
782,27.395878
783,30.408531
784,48.071354
785,56.394516
786,68.126945
787,68.93766
788,69.0736
789,57.8294
790,53.43742
791,45.816734
792,37.189026
793,34.153805
794,46.840794
795,36.482098
796,31.94553
797,31.734722
798,32.484413
799,34.038586
800,32.379536
801,31.771507
802,30.919014
803,42.90728
804,42.60685
805,44.953762
806,43.275494
807,42.697487
808,41.669823
809,40.789654
810,39.555653
811,37.386467
812,38.433674
813,34.874783
814,36.385952
815,33.381958
816,36.95635
817,36.128704
818,39.500195
819,38.422363
820,42.022743
821,42.96851
822,44.455536
823,43.283676
824,45.853374
825,47.219524
826,43.316723
827,43.025677
828,45.495087
829,46.73996
830,47.528545
831,45.79377
832,47.85741
833,47.312172
834,47.68309
835,39.484863
836,36.239464
837,44.28508
838,40.44713
839,42.716457
840,43.740837
841,46.246056
842,48.830963
843,51.465286
844,50.511887
845,50.216503
846,49.010952
847,46.836975
848,45.107155
849,47.518177
850,48.02243
851,42.849716
852,39.67593
853,31.000698
854,29.479557
855,30.896832
856,31.88247
857,39.15475
858,38.676205
859,36.809685
860,36.78969
861,41.092983
862,46.875797
863,47.65576
864,48.583042
865,49.183594
866,48.78345
867,49.03528
868,37.081463
869,34.136314
870,35.133118
871,32.302692
872,32.98664
873,34.90703
874,34.136124
875,46.169544
876,45.669197
877,45.683357
878,45.005726
879,53.59157
880,62.719616
881,67.06012
882,68.865776
883,65.52634
884,68.06417
885,63.934986
886,63.181335
887,56.182575
888,53.045094
889,48.563046
890,47.900375
891,44.585697
892,50.396946
893,51.231213
894,50.932003
895,50.60739
896,50.391994
897,44.465252
898,52.65527
899,56.119087
900,61.602142
901,62.14973
902,62.211025
903,60.115047
904,58.841007
905,62.9453
906,60.963642
907,58.65237
908,49.08997
909,45.26068
910,41.749443
911,42.579018
912,39.88351
913,41.40144
914,38.90271
915,30.81205
916,27.66333
917,26.273481
918,28.141556
919,28.346672
920,30.17242
921,28.830961
922,31.203083
923,39.058624
924,41.616554
925,38.684597
926,40.30993
927,39.752865
928,36.124615
929,37.38261
930,38.573223
931,41.5303
932,43.269073
933,47.297394
934,43.325912
935,32.25105
936,28.864388
937,33.121758
938,33.01543
939,27.76086
940,25.96642
941,26.585888
942,32.625233
943,34.218212
944,31.211414
945,27.127773
946,27.18208
947,39.589283
948,48.49621
949,55.62554
950,52.119507
951,31.65797
952,50.40373
953,65.89421
954,69.291695
955,53.556572
956,46.382717
957,30.926586
958,31.395653
959,31.552238
960,34.191216
961,35.219227
962,38.654503
963,51.10556
964,48.05029
965,45.582268
966,41.442375
967,41.078976
968,30.649834
969,33.152264
970,42.9088
971,45.046883
972,45.34335
973,46.730137
974,48.309063
975,50.27555
976,57.64417
977,61.497013
978,65.723885
979,65.8683
980,60.758953
981,56.57787
982,50.28258
983,50.11443
984,48.41145
985,51.103645
986,49.744503
987,49.684536
988,46.739075
989,46.528538
990,41.801556
991,40.75637
992,33.528416
993,31.365643
994,29.419102
995,28.556408
996,30.353493
997,31.26128
998,32.207394
999,32.064198
1000,44.77589
1001,34.185474
1002,31.767696
1003,32.80459
1004,51.062008
1005,55.365353
1006,56.30993
1007,53.354275
1008,48.789356
1009,44.824123
1010,44.95826
1011,43.478085
1012,41.238388
1013,42.109158
1014,45.35072
1015,45.002377
1016,31.374195
1017,30.21006
1018,31.561466
1019,39.271816
1020,40.192673
1021,40.406956
1022,31.421425
1023,30.109818
1024,29.823027
1025,42.233784
1026,43.184826
1027,42.36445
1028,38.957977
1029,38.1079
1030,36.96185
1031,35.052197
1032,27.585535
1033,25.900185
1034,25.753468
1035,25.303146
1036,25.724915
1037,28.259052
1038,26.465027
1039,25.227543
1040,26.91024
1041,24.914448
1042,25.647778
1043,30.840027
1044,45.510223
1045,46.04752
1046,41.511253
1047,38.5489
1048,40.93542
1049,40.477608
1050,42.83357
1051,47.653557
1052,51.545506
1053,50.37249
1054,47.502407
1055,45.255066
1056,47.50736
1057,47.11138
1058,34.988132
1059,30.90282
1060,31.457466
1061,31.510101
1062,32.13174
1063,33.55814
1064,32.304504
1065,25.380184
1066,31.670502
1067,53.629284
1068,55.64754
1069,54.16459
1070,50.626617
1071,48.455463
1072,46.83716
1073,42.044987
1074,47.273163
1075,50.063786
1076,53.82592
1077,46.952793
1078,39.848648
1079,36.81531
1080,36.534256
1081,31.01376
1082,34.712673
1083,37.154816
1084,36.71918
1085,33.634235
1086,28.860321
1087,27.387978
1088,24.894043
1089,27.383617
1090,38.592575
1091,53.33821
1092,51.364193
1093,43.8042
1094,39.962875
1095,38.102367
1096,36.902798
1097,37.68716
1098,37.651505
1099,40.22743
1100,44.475105
1101,48.06091
1102,49.295002
1103,47.022457
1104,48.809128
1105,47.16042
1106,47.99683
1107,49.961205
1108,51.773026
1109,60.16708
1110,59.72708
1111,55.66462
1112,54.3603
1113,52.76806
1114,52.970943
1115,57.60681
1116,57.61614
1117,49.551327
1118,39.62453
1119,34.12134
1120,29.268997
1121,38.353294
1122,38.690224
1123,27.712273
1124,27.475191
1125,28.361876
1126,28.85957
